word	count	rank
阿Ｑ	284	0
知道	53	1
想	76	2
自己	46	3
小	75	4
太爺	41	5
未莊	44	6
秀才	34	7
看	72	8
沒有	95	9
似乎	31	10
著	65	11
聽	34	12
打	53	13
見	76	14
他們	26	15
對	33	16
尼姑	23	17
女人	23	18
老爺	23	19
好	38	20
舉人	23	21
假洋鬼子	21	22
再	27	23
站	26	24
只	56	25
更	26	26
雖然	23	27
土谷祠	17	28
錢	45	29
辮子	22	30
革命黨	21	31
已經	23	32
誰	19	33
那裡	17	34
倒	20	35
彷	17	36
彿	15	37
以	92	38
不能	16	39
東西	19	40
老頭子	16	41
正傳	14	42
不是	14	43
這樣	15	44
或者	14	45
道	89	46
我們	15	47
現在	18	48
即	27	49
下	71	50
一件	15	51
大	109	52
鄒七嫂	15	53
）	14	54
就是	13	55
長	25	56
一定	13	57
眼睛	13	58
本來	18	59
覺得	23	60
造反	13	61
老	68	62
似的	12	63
便是	12	64
事	30	65
還是	14	66
只有	12	67
還有	16	68
可以	12	69
這是	12	70
吃	18	71
酒店	12	72
人物	12	73
把	14	74
革命	35	75
漸漸	11	76
總	25	77
只是	11	78
先前	11	79
新	21	80
可	64	81
用	41	82
城裡	14	83
立刻	11	84
家	78	85
向	14	86
王胡	18	87
太太	11	88
一面	10	89
第一	14	90
無	31	91
兒子	13	92
黃	11	93
地保	10	94
ｅ	10	95
先生	10	96
多	40	97
拿	11	98
舂	10	99
一種	14	100
睡	13	101
看見	20	102
忽然	10	103
大約	14	104
指	28	105
吳媽	11	106
鏘	12	107
可惜	9	108
不知	32	109
不敢	9	110
兩個	10	111
進	47	112
怎麼	11	113
有人	10	114
寫	16	115
正	58	116
人們	18	117
時	92	118
意思	9	119
手	54	120
白眼	9	121
傳	70	122
思想	8	123
其次	8	124
家裡	8	125
這裡	8	126
個	99	127
竟	16	128
非常	8	129
比	13	130
自然	10	131
錯	10	132
不見	8	133
以為	19	134
不足	8	135
照例	8	136
這才	10	137
跑	8	138
晚上	8	139
一般	8	140
得意	8	141
本	49	142
皇帝	8	143
一支	8	144
使	22	145
不准	8	146
出去	9	147
司晨	8	148
媽媽	9	149
跟	9	150
像	13	151
蔔	8	152
進城	8	153
盤	9	154
：	7	155
酒	28	156
幾個	8	157
第二天	7	158
外面	7	159
ｉ	7	160
間	29	161
曾	15	162
未	60	163
仍然	7	164
怕	17	165
幫忙	7	166
米	9	167
起	73	168
早	18	169
幾乎	7	170
怒目	7	171
地方	7	172
這回	7	173
忽而	7	174
較	7	175
臉	12	176
進去	8	177
上城	7	178
跳	10	179
哭	8	180
笑	21	181
飄飄然	9	182
應該	10	183
一天	7	184
並且	7	185
黑狗	7	186
『	7	187
