seatno	assignment	score	grade	comment
001	W14	396	86	  這周講師的主題是Azure IoT Solutions – IoT Hub & IoT Edge & IoT，一開始簡單介紹了Azure IoT Solutions – IoT Hub & IoT Edge & IoT的用途以及Azure IoT Solutions – IoT Hub & IoT Edge & IoT所帶來的效益。   Azure 物聯網 (IoT) 是由 Microsoft 管理的雲端服務集合，它會連線、監視及控制數十億個 IoT 資產。IoT 解決方案是由一個或多個在雲端上執行，且互相通訊的 IoT 裝置和後端服務所組成。  
002	W14	417	95	  這禮拜的企業雲端應趨勢與實務課程主要講解的是Azure IoT Solutions – IoT Hub & IoT Edge & IoT，而AZURE IoT可在我們的 IoT 應用程式與其所管理裝置之間進行高度安全兼可靠的通訊。Azure IoT 中樞提供雲端託管解決方案後端，幾乎可連線到任何裝置。您可以利用個別裝置驗證、內建裝置管理和可調整佈建，將解決方案從雲端擴展到邊緣。物聯網在近幾年來已經逐漸成為一個趨勢，生活上許多事務都與物聯網息息相關，也為我們帶來了相當大的便利性，感謝今天的講師用心的講解AZURE IoT，讓我又增進了這一塊的相關知識，想必在未來會有一定的幫助。  
003	W14	344	81	  今天主要是介紹Azure IoT，在微軟的平台上在ioT情境上的一些應用，以及讓我們看一些Demo，是如何去運作的，發現在雲端上的趨勢有改變，在我們手機上的應用越來越聰明，而微軟也隨之作出改變，將一些東西放到Edge端來製作，方向上偏向能在雲端上做一些Train以及Model，微軟讓Managed Solution能在建立之後可以馬上使用，IoT Edge的情境，做出動作進行預測性分析，介紹雲端怎麼做如何下放到Device端，Azure Sphere的流程，Azure IoT Central和IoT hub的功能以及他的分析動作，進行實作  
004	W14	314	80	  這禮拜的主題是Azure IoT Solution。  近幾年來，Microsoft 已轉型成為cloud service provider. 由此產生了Intelligent Cloud & Intelligent Edge的口號.  Use | solution- Managed solution. etc Iot central, connected field service.  Build | platform - solution accelerators. etc remote monitoring, predictive maintenance, connected factory.  Azure IoT solution accelerators including:    * end-to-end implementation   * completely customizable   * open-source microservices based architecture   * device connectivity and management   * dashboards, visualization and insights   * workflow automation and integration   * command and control   * preconfigured solutions  
005	W14	403	89	  **Azure IoT Solution**  Intelligent Cloud & Intelligent Edge  今天的講師講述一些微軟的目前方向，新增體驗與設備、AI與雲端兩大部門，同時加重人工智慧AI與雲端發展。  **Azure IoT Edge** 將雲端分析和自訂商務邏輯移至裝置，讓您的組織可以專注於商業洞見而非資料管理。 將您的商務邏輯封裝到標準容器中，以擴充您的 IoT 解決方案，然後將這些容器部署到任何裝置，並從雲端進行全面監視。  **IoT Hub** 是 Azure 物聯網套件Azure IoT Suite中的主要 PaaS 服務，負責管理與連接物聯網裝置並協助企業蒐集、管理和處理從物聯網裝置上所產生的資料。  **Azure IoT Central** 是一個 IoT 應用程式平台，可降低與開發、管理及維護企業級 IoT 解決方案相關的負擔和成本。 選擇使用 Azure IoT Central 進行建置，可讓您有機會將時間、金錢和心力專注在 IoT 資料的企業轉型上，而不只是維護和更新複雜且不斷演進的 IoT 基礎結構。  
006	W14	161	68	   **物聯網** ，是網際網路、傳統電信網等的資訊承載體，讓所有能行使獨立功能的普通物體實現互聯互通的網路[2]。IoT一般為無線網，而由於每個人周圍的裝置可以達到一千至五千個，所以IoT可能要包含500兆至一千兆個物體。在IoT上，每個人都可以應用電子標籤將真實的物體上網聯結，在IoT上都可以查出它們的具體位置。通過IoT可以用中心電腦對機器、裝置、人員進行集中管理、控制，也可以對家庭裝置、汽車進行遙控，以及搜尋位置、防止物品被盜等，類似自動化操控系統，同時透過收集這些小事物的資料，最後可以匯聚成巨量資料，包含重新設計道路以減少車禍、都市更新、災害預測與犯罪防治、流行病控制等等社會的重大改變，實現物和物相聯。  IoT將現實世界數位化，應用範圍十分廣泛。  
007	W14	125	62	  現今的科技讓身邊大部分的生活用品已經都能夠連上網路，這些IoT產品越來越多，功能也越來越豐富，使得我們的生活越來越便捷，而且隨時都能記錄我們生活的點滴，不過相對的，我們的隱私會不會就更容易曝光，產生很多不安全的問題呢?我覺得是我們大家很值得思考的議題。  但回到講師的主題，在雲端服務越來越盛行，團隊的專案實作或是公司企業的產品等也可以簡單地在azure實作IoT相關產品，而且可製化的彈性更強，也不必為了要在其他處安裝，甚至國外監控管理設備的時候，還要跑去當地，如此也可以省去很多時間成本。  
008	W14	401	88	  IoT可以驗證每部裝置以增加安全性，替每個連線的裝置設定個人身分識別及認證，以保持雲端到裝置和裝置到雲端之訊息的機密性，視需要選擇性地撤銷特定裝置的存取權限。講師舉例3M有出一台飲水機，會自動收集零件相關的資訊，並且去監控是否運作正常，而這就是透過IoT進行的。IoT是未來的主流，可為企業提供即時且真實世界的商機，來降低成本、提高營收，並使其企業轉型。 不過，許多企業因為顧慮到安全性、隱私權及相容性問題，而對在組織中部署 IoT 而有所遲疑。  
009	W14	139	67	  這一次講座課在講IoT相關的技術及概念還有在Azure上的操作，還講了IoT Edg運算，講了很多物聯網的相關知識，現在物聯網的技術越來越發達也代表著我們的生活也會越來越便利，但很多人都不知道在這麼方便的功能、技術背後，需要付出多大的努力和多少次的Debug，雖然物聯網越來越發達，但同時也代表著駭客的攻擊會越來越廣、技術越來越高，使用者永遠都沒辦法預防很多未知的攻擊，就連製造者、資安技術方面的人也不一定能及時預防，所以雖然物聯網讓生活越來越方便，但一些基礎的資安預防觀念還是要有，以免到時候個資、重要資料被倒了或被監聽了都不知道。  
010	W14	403	90	  經過講師的講解，讓我知道Azure IoT Edge 是內建於 Azure IoT 中樞且完全受控的服務。部署您的雲端工作負載 (人工智慧、Azure 和協力廠商服務，或是您自己的商務邏輯)，以透過標準容器在物聯網 (IoT) 邊緣裝置上執行。藉由將特定工作負載移至網路邊緣，您的裝置就能以較少的時間與雲端通訊、更快速地回應本機變更，甚至能夠在長期離線的狀況下可靠地運作。輕鬆地建立和部署 IoT Edge 模組，以在雲端與邊緣之間傳輸程式碼和服務。將智慧功能 (包括 AI 及其他進階分析) 散發到各種裝置。全部都可降低 IoT 應用程式成本、簡化開發工作，以及離線或在具有間歇性連線時執行裝置。雖然這些專業知識很多剛聽完的時候都不太了解，但實際運用之後，就能感受到他的方便之處，謝謝講師的講解。  
012	W14	115	62	  在這堂課企業雲端應用趨勢與實務中，今天12月10日魏主任邀請到微軟的李傑偉講師進行演講，李老師今天是第一次來上課，也是第一次聽到李老師對微軟Azure作介紹，而今天除了之前的Azure的介紹，今天教了微軟Azure IoT的教學，並且實際操作一次Azure IoT給我們看，讓我們能夠更快速的學習到該如何操作，我覺得今天的課程非常的困難且複雜，但是李老師在教微軟Azure的功能利用很多經驗來舉例，讓我們更容易了解，聽了今天的講座我覺得很值得。  
013	W14	408	93	  今天講師的風格沉穩，講的東西比較深也比較也比較學術，所以聽得會較容易分心，但 Iot 技術是現在相當重要的一門技術，講師一步步詳細的說明 Iot 的應用和好處。  Azure IoT 中樞提供雲端託管解決方案後端，幾乎可連線到任何裝置， Azure Iot中心裡提供 **增強安全性的通訊通道** ，可以從 IoT 裝置傳送和接收資料。 **內建裝置管理和佈建** ，藉此來達到大規模連線和管理 IoT 裝置，並且與事件方格完全整合，也與無伺服器運算完全整合，從而簡化 IoT 應用程式開發過程，而且還與 Azure IoT Edge 相容，可建置混合式 IoT 應用程式。  Iot 可以應用在生活中各處， Azure 提供的方便 Iot 管理服務，對於未來要開發iot的技術人員相當方便。  
