sentence	id	length
	jp 0	26
	jp 1	30
	jp 2	62
	jp 3	28
	jp 4	27
	jp 5	26
	jp 6	37
	jp 7	42
	jp 8	22
	jp 9	26
	jp10	26
	jp11	39
	jp12	24
	jp13	21
	jp14	33
	jp15	40
	jp16	24
	jp17	25
	jp18	45
	jp19	44
	jp20	26
	jp21	28
	jp22	24
	jp23	19
	jp24	30
	jp25	25
	jp26	31
	jp27	54
	jp28	57
	jp29	41
	tw 0	26
	tw 1	30
	tw 2	62
	tw 3	28
	tw 4	27
	tw 5	26
	tw 6	37
	tw 7	42
	tw 8	22
	tw 9	26
	tw10	26
	tw11	39
	tw12	24
	tw13	21
	tw14	33
	tw15	40
	tw16	24
	tw17	25
	tw18	45
	tw19	44
	tw20	26
	tw21	28
	tw22	24
	tw23	19
	tw24	30
	tw25	25
	tw26	31
	tw27	54
	tw28	57
	tw29	41
