word	count	rank
老人	264	0
魚	263	1
ロープ	194	2
言っ	186	3
船	148	4
奴	127	5
思っ	101	6
少年	89	7
サメ	86	8
ある	85	9
なかっ	79	10
時	78	11
海	76	12
手	72	13
いい	69	14
中	67	15
考え	64	16
頭	62	17
水	58	18
見え	57	19
見	51	20
もう	50	21
出し	46	22
目	46	23
なる	44	24
自分	44	25
引き	44	26
なら	40	27
なく	40	28
日	39	29
体	39	30
力	38	31
あっ	37	32
餌	37	33
シイラ	37	34
人	36	35
左手	36	36
でき	35	37
分かっ	35	38
出	34	39
鳥	34	40
しまっ	33	41
舳先	33	42
声	33	43
来	32	44
無い	31	45
風	31	46
せ	31	47
やる	30	48
漁師	29	49
持っ	29	50
いく	29	51
両手	28	52
たい	28	53
できる	28	54
くれ	28	55
船尾	28	56
オール	28	57
上	27	58
しれ	27	59
なけれ	27	60
太陽	27	61
肩	26	62
トビウオ	26	63
見える	26	64
背中	26	65
右手	26	66
下	25	67
食べ	25	68
始め	25	69
銛	24	70
音	24	71
マグロ	24	72
光	23	73
口	23	74
感じ	22	75
夢	22	76
舵	22	77
うち	21	78
先	21	79
一緒	20	80
行っ	20	81
ただ	20	82
眼	20	83
人間	20	84
入れ	20	85
ナイフ	20	86
きっと	20	87
水面	20	88
近づい	19	89
より	19	90
痛み	19	91
しか	18	92
戻っ	18	93
棍棒	18	94
かけ	18	95
強く	18	96
分から	18	97
間	18	98
姿	18	99
暗い	18	100
顎	18	101
つけ	17	102
マスト	17	103
流れ	17	104
肉	17	105
イワシ	17	106
子	17	107
ほとんど	17	108
考える	17	109
匂い	17	110
海面	17	111
血	16	112
やっ	16	113
強い	16	114
よく	16	115
必要	16	116
気	16	117
様子	16	118
棒	16	119
切っ	16	120
水中	16	121
空	16	122
運	15	123
帆	15	124
変え	15	125
板	15	126
来る	15	127
ずっと	15	128
他	15	129
ベッド	15	130
食う	15	131
もっと	15	132
形	15	133
尾	15	134
殺し	15	135
疲れ	15	136
殺す	15	137
そば	14	138
亀	14	139
入っ	14	140
分	14	141
月	14	142
眠っ	14	143
後ろ	14	144
押さえ	14	145
尋	14	146
泳ぎ	14	147
動き	14	148
鉤	14	149
進ん	14	150
漁	13	151
獲	13	152
跳ね	13	153
見つめ	13	154
小屋	13	155
足	13	156
仕事	13	157
群れ	13	158
大きく	13	159
紫色	13	160
次	13	161
指	13	162
休ん	13	163
つり	13	164
星	13	165
骨	13	166
別	12	167
顔	12	168
腕	12	169
なり	12	170
すれ	12	171
取っ	12	172
腹	12	173
寝	12	174
道	12	175
しよ	12	176
始める	12	177
高く	12	178
続け	12	179
良く	12	180
刃	12	181
爺さん	12	182
もう一度	12	183
立派	11	184
手鉤	11	185
親父	11	186
とも	11	187
良い	11	188
東	11	189
野球	11	190
覚え	11	191
叩い	11	192
沈ん	11	193
膝	11	194
重み	11	195
ライオン	11	196
飲ん	11	197
眺め	11	198
死ん	11	199
つい	11	200
み	11	201
深く	11	202
控え	11	203
向かっ	11	204
体重	11	205
握っ	11	206
良かっ	11	207
引い	11	208
周回	11	209
罪	11	210
見る	10	211
行き	10	212
大物	10	213
テラス	10	214
カジキ	10	215
初めて	10	216
さき	10	217
行く	10	218
あれ	10	219
一つ	10	220
ディマジオ	10	221
でかい	10	222
閉じ	10	223
そのまま	10	224
すぎ	10	225
静か	10	226
深	10	227
変わら	10	228
潜っ	10	229
勢い	10	230
全力	10	231
楽	10	232
襲っ	10	233
既に	9	234
巻い	9	235
色	9	236
身	9	237
側	9	238
乗せ	9	239
ひどく	9	240
用意	9	241
尋ね	9	242
見つけ	9	243
やら	9	244
伸ばし	9	245
無かっ	9	246
新聞	9	247
悪く	9	248
ズボン	9	249
進む	9	250
こ	9	251
駄目	9	252
いれ	9	253
速度	9	254
雲	9	255
線	9	256
暗く	9	257
銀色	9	258
食いつい	9	259
やがて	9	260
くちばし	9	261
打っ	9	262
縞	9	263
黒人	9	264
円	9	265
波	8	266
袋	8	267
道具	8	268
運ん	8	269
皮	8	270
向き	8	271
すごい	8	272
もし	8	273
悪い	8	274
遠く	8	275
色々	8	276
場所	8	277
食べる	8	278
起き	8	279
開い	8	280
なんて	8	281
最高	8	282
横	8	283
言う	8	284
暗闇	8	285
巨大	8	286
続ける	8	287
取り	8	288
コーヒー	8	289
あたり	8	290
翼	8	291
下ろし	8	292
味	8	293
つける	8	294
引っ張っ	8	295
長い	8	296
大き	8	297
端	8	298
黄色い	8	299
引っ張ら	8	300
知ら	8	301
抵抗	8	302
相手	8	303
移動	8	304
胸	8	305
傷	8	306
切り身	8	307
落ち着い	8	308
棘	8	309
最初	7	310
もり	7	311
深い	7	312
近く	7	313
仲間	7	314
尻尾	7	315
話	7	316
自信	7	317
年寄り	7	318
壁	7	319
置い	7	320
あり	7	321
毛布	7	322
起こし	7	323
十分	7	324
やろ	7	325
食っ	7	326
分かる	7	327
長く	7	328
灯り	7	329
落ち	7	330
金色	7	331
白い	7	332
愛し	7	333
広げ	7	334
男	7	335
自身	7	336
ホンダワラ	7	337
上がっ	7	338
闇	7	339
部分	7	340
泳ぐ	7	341
やれる	7	342
泳い	7	343
陸地	7	344
模様	7	345
跳ねる	7	346
青い	7	347
素早く	7	348
引っ掛け	7	349
食わ	7	350
支え	7	351
いか	7	352
死ぬ	7	353
メス	7	354
心配	7	355
なきゃ	7	356
切れ	7	357
噛ん	7	358
こいつ	7	359
じき	7	360
耐え	7	361
祈り	7	362
描き	7	363
感触	7	364
ガラノー	7	365
漕ぎ	6	366
通り	6	367
いつも	6	368
運ぶ	6	369
反射	6	370
新しい	6	371
天気	6	372
連れ	6	373
塩	6	374
箱	6	375
出る	6	376
遠出	6	377
探し	6	378
つき	6	379
信じ	6	380
テーブル	6	381
使っ	6	382
簡単	6	383
遠い	6	384
生き	6	385
瓶	6	386
砂浜	6	387
言葉	6	388
現れ	6	389
飲む	6	390
あと	6	391
突き出	6	392
聞こえ	6	393
陸	6	394
漕い	6	395
燐光	6	396
夜明け	6	397
硬く	6	398
敵	6	399
狙っ	6	400
仕掛け	6	401
新鮮	6	402
まき	6	403
枝	6	404
前方	6	405
旋回	6	406
思う	6	407
カツオノエボシ	6	408
軽く	6	409
速く	6	410
心臓	6	411
輪	6	412
引く	6	413
斑点	6	414
外し	6	415
来い	6	416
回り	6	417
残っ	6	418
準備	6	419
込め	6	420
引っ張り	6	421
ありがたい	6	422
事	6	423
オス	6	424
兄弟	6	425
高	6	426
確かめ	6	427
ひどい	6	428
待っ	6	429
寸前	6	430
小鳥	6	431
上げ	6	432
握り	6	433
魚肉	6	434
気分	6	435
尾びれ	6	436
賭け	6	437
影	6	438
食い	6	439
背びれ	6	440
老い	5	441
釣れ	5	442
獲物	5	443
すっかり	5	444
痛ん	5	445
まるで	5	446
首	5	447
輝き	5	448
ビール	5	449
潮	5	450
いっぱい	5	451
使う	5	452
殺さ	5	453
回っ	5	454
ふ	5	455
勝負	5	456
乗っ	5	457
調子	5	458
明るく	5	459
沖	5	460
海岸	5	461
重い	5	462
部屋	5	463
硬い	5	464
椅子	5	465
脚	5	466
家	5	467
知っ	5	468
座っ	5	469
しろ	5	470
とにかく	5	471
借り	5	472
裸足	5	473
あまり	5	474
言い	5	475
素晴らしい	5	476
まあ	5	477
ちゃんと	5	478
白く	5	479
傾け	5	480
おけ	5	481
結ば	5	482
向こう	5	483
辺り	5	484
海流	5	485
金	5	486
保っ	5	487
状態	5	488
日の出	5	489
見せ	5	490
位置	5	491
確か	5	492
経っ	5	493
視界	5	494
鉤素	5	495
はりす	5	496
広がっ	5	497
喜ん	5	498
触手	5	499
持た	5	500
動く	5	501
船板	5	502
生まれ	5	503
高い	5	504
汗	5	505
親指	5	506
人差し指	5	507
ひと	5	508
遠ざかっ	5	509
張り	5	510
固定	5	511
思え	5	512
何とか	5	513
向け	5	514
できるだけ	5	515
慎重	5	516
立ち上がっ	5	517
確認	5	518
イルカ	5	519
まい	5	520
近づく	5	521
まわし	5	522
代わり	5	523
たれ	5	524
背骨	5	525
切れる	5	526
洗っ	5	527
引き寄せる	5	528
塊	5	529
ハリケーン	5	530
輝い	5	531
大きい	5	532
吹い	5	533
動かし	5	534
立て	5	535
眠る	5	536
スピード	5	537
胴体	5	538
腸	5	539
かける	5	540
無理	5	541
振り	5	542
浮かん	5	543
脇	5	544
括り	5	545
歯	5	546
鼻	5	547
取ら	5	548
帆綱	5	549
完全	4	550
心	4	551
巻き	4	552
継ぎ	4	553
永遠	4	554
岸	4	555
のぼり	4	556
教え	4	557
釣っ	4	558
多く	4	559
穏やか	4	560
並べ	4	561
入り江	4	562
反対	4	563
切ら	4	564
臭い	4	565
港	4	566
北	4	567
照らさ	4	568
投網	4	569
本当に	4	570
希望	4	571
姿勢	4	572
変わっ	4	573
戻る	4	574
親方	4	575
そんなに	4	576
年	4	577
戦える	4	578
大丈夫	4	579
やり方	4	580
え	4	581
丈夫	4	582
シャツ	4	583
後で	4	584
売っ	4	585
戸口	4	586
半	4	587
奇妙	4	588
頑丈	4	589
やはり	4	590
減っ	4	591
言わ	4	592
缶	4	593
村	4	594
要る	4	595
もちろん	4	596
せよ	4	597
馬	4	598
なれ	4	599
陸風	4	600
覚まし	4	601
女	4	602
ふと	4	603
通し	4	604
外	4	605
冷え込み	4	606
震え	4	607
かかっ	4	608
回し	4	609
消え	4	610
下り	4	611
入る	4	612
近い	4	613
飛び	4	614
切る	4	615
小さく	4	616
残酷	4	617
女性	4	618
任せ	4	619
ビンナガ	4	620
軸	4	621
曲がっ	4	622
付い	4	623
寄り	4	624
平ら	4	625
斜め	4	626
急	4	627
降下	4	628
跳ね上がっ	4	629
針金	4	630
結びつけ	4	631
逃げ	4	632
緑色	4	633
元	4	634
押し	4	635
引っ張る	4	636
見つける	4	637
全身	4	638
かかと	4	639
跳ね上がり	4	640
突っ込ん	4	641
堅く	4	642
引け	4	643
出す	4	644
聞い	4	645
動い	4	646
押さえる	4	647
状況	4	648
食え	4	649
取れ	4	650
無くなっ	4	651
同時に	4	652
経験	4	653
送り出し	4	654
入れる	4	655
寄りかかり	4	656
いくら	4	657
注意	4	658
片手	4	659
沈む	4	660
一度	4	661
試合	4	662
戦い	4	663
捕まえ	4	664
薄紫	4	665
最後	4	666
着実	4	667
速	4	668
測っ	4	669
ふらつい	4	670
跳ね上がる	4	671
いかん	4	672
欲しい	4	673
飛ん	4	674
揺ら	4	675
いまや	4	676
浸し	4	677
塩水	4	678
引き続け	4	679
栄養	4	680
幸運	4	681
治る	4	682
計画	4	683
合わせ	4	684
思わ	4	685
貿易	4	686
季節	4	687
傾き	4	688
浮上	4	689
左右	4	690
背	4	691
ちぎっ	4	692
ずらし	4	693
主	4	694
唱え	4	695
短い	4	696
闘い	4	697
つく	4	698
飛行機	4	699
噛み	4	700
縛っ	4	701
足枷	4	702
食べ物	4	703
失っ	4	704
空腹	4	705
眠ら	4	706
広い	4	707
浜	4	708
眩暈	4	709
槍	4	710
なし	4	711
治し	4	712
悪かっ	4	713
デントゥーソ	4	714
武器	4	715
脳	4	716
折れ	4	717
石	3	718
独り	3	719
続い	3	720
釣り上げ	3	721
帰っ	3	722
細く	3	723
頬	3	724
皮膚	3	725
褐色	3	726
両側	3	727
傷痕	3	728
古い	3	729
着け	3	730
信じる	3	731
出さ	3	732
水深	3	733
済ませ	3	734
市場	3	735
待つ	3	736
越え	3	737
漂っ	3	738
行け	3	739
梁	3	740
ばり	3	741
焼け	3	742
残り	3	743
買っ	3	744
真	3	745
誇り	3	746
手助け	3	747
妙	3	748
取り出し	3	749
木	3	750
柄	3	751
渦	3	752
残し	3	753
引き寄せ	3	754
聖母	3	755
妻	3	756
気持ち	3	757
繰り返し	3	758
当たる	3	759
買える	3	760
当て	3	761
やめ	3	762
倒し	3	763
同様	3	764
かすか	3	765
揺れる	3	766
優しく	3	767
答え	3	768
二つ	3	769
きれい	3	770
やっぱり	3	771
取る	3	772
とうとう	3	773
時々	3	774
無く	3	775
覆っ	3	776
眠り	3	777
広がる	3	778
早	3	779
決して	3	780
歩い	3	781
岩	3	782
新聞紙	3	783
浜辺	3	784
山	3	785
放っ	3	786
呼ぶ	3	787
穴	3	788
特に	3	789
黒い	3	790
美しい	3	791
生きる	3	792
時に	3	793
危険	3	794
影響	3	795
弛	3	796
たゆ	3	797
かぎ	3	798
きつく	3	799
垂直	3	800
明るい	3	801
鋭く	3	802
望み	3	803
正確	3	804
狙う	3	805
漂う	3	806
持つ	3	807
安定	3	808
必死	3	809
走っ	3	810
投げ	3	811
大群	3	812
うまく	3	813
速い	3	814
かなり	3	815
続く	3	816
背景	3	817
並ん	3	818
プランクトン	3	819
昇っ	3	820
意味	3	821
アグア・マーラ	3	822
綺麗	3	823
質	3	824
泡	3	825
陰	3	826
毒	3	827
むしろ	3	828
戦う	3	829
比べれ	3	830
空中	3	831
描い	3	832
寄せる	3	833
震わせ	3	834
感じる	3	835
叩き	3	836
構わ	3	837
ラジオ	3	838
まわり	3	839
変わる	3	840
プリズム	3	841
作っ	3	842
映る	3	843
挟み	3	844
そっと	3	845
強	3	846
理解	3	847
先端	3	848
頼む	3	849
食いつく	3	850
挟ん	3	851
くわえ	3	852
やや	3	853
結ぶ	3	854
大声	3	855
振る	3	856
す	3	857
筋肉	3	858
方向	3	859
乾かし	3	860
垂らし	3	861
針路	3	862
集中	3	863
忘れ	3	864
回転	3	865
息	3	866
打ち	3	867
剣	3	868
鏡	3	869
助け	3	870
引き上げ	3	871
片付け	3	872
選ん	3	873
離れ	3	874
折れる	3	875
鞘	3	876
左肩	3	877
作業	3	878
難しい	3	879
倒さ	3	880
戻り	3	881
押し付け	3	882
空気	3	883
ともかく	3	884
本当	3	885
馬鹿	3	886
海水	3	887
避け	3	888
小さい	3	889
左	3	890
戻し	3	891
鉤爪	3	892
間抜け	3	893
つっ	3	894
当たっ	3	895
開く	3	896
生	3	897
肘	3	898
確実	3	899
現し	3	900
幅広い	3	901
尖っ	3	902
滑らか	3	903
治っ	3	904
おん	3	905
証明	3	906
動か	3	907
猫	3	908
ランプ	3	909
過ぎ	3	910
審判	3	911
見守っ	3	912
行か	3	913
ジャンプ	3	914
乗り出し	3	915
丸	3	916
わた	3	917
抜き	3	918
食料	3	919
ぼろぼろ	3	920
決意	3	921
苦痛	3	922
鈍っ	3	923
冴え	3	924
方法	3	925
重く	3	926
軌跡	3	927
吐き気	3	928
現れる	3	929
抑え	3	930
やっと	3	931
聞こえる	3	932
手のひら	3	933
努め	3	934
重荷	3	935
恐れ	3	936
手繰っ	3	937
帰る	3	938
ずり落ち	3	939
南西	3	940
引きつけ	3	941
寄せ	3	942
繋ぎ	3	943
美しく	3	944
明晰	3	945
残さ	3	946
仰向け	3	947
鰓	3	948
吹き	3	949
面	3	950
長続き	3	951
